zone_id,name,capacity,lat,lon,type,price_old,occupancy_old,revenue_old,price_new,occupancy_new,revenue_new,delta_price,delta_revenue,delta_occupancy
1,Schlossplatz,912,49.01160811160684,8.404207289938675,Short-Term,2.5,0.93,2120.4,3.5,0.73,2492.33,1.0,371.93,-0.2
2,Am ZKM,600,49.00024351709108,8.384186930968069,Commuter,1.5,0.63,567.0,3.0,0.41,782.05,1.5,215.05,-0.22
4,Hauptbahnhof P1 P2,648,48.99300978797946,8.402992013521276,Commuter,2.5,0.68,1101.6000000000001,4.5,0.49,1445.53,2.0,343.93,-0.19
7,Friedrichsplatz,250,49.00788423684946,8.40080583146374,Short-Term,2.5,0.86,537.5,4.0,0.64,636.71,1.5,99.21,-0.22
11,Europabad,465,48.996272484654284,8.377836872388333,Commuter,1.5,0.53,369.675,3.0,0.36,530.04,1.5,160.36,-0.17
15,Parkarkaden,450,49.00424475721943,8.417450781187767,Short-Term,2.0,0.74,666.0,3.5,0.54,833.82,1.5,167.82,-0.2
17,Parking Zone 17,621,49.007749629656175,8.417740993116011,Short-Term,2.0,0.76,943.92,3.5,0.55,1168.18,1.5,224.26,-0.21
21,Parkhaus Knielinger Allee,532,49.018972879889105,8.374190124452912,Commuter,1.5,0.54,430.92,2.5,0.45,567.1,1.0,136.18,-0.09
25,Fasanengarten,216,49.014118915625566,8.419988718149183,Short-Term,1.0,0.74,159.84,2.5,0.26,153.63,1.5,-6.21,-0.48
27,Passagehof,258,49.01096626097249,8.398273976452842,Short-Term,3.0,0.86,665.64,4.0,0.74,757.7,1.0,92.06,-0.12
30,Parking Zone 30,291,48.99995109758059,8.342052851505452,Commuter,1.5,0.1,43.650000000000006,3.5,0.06,62.61,2.0,18.96,-0.04
33,Kronenplatz,430,49.00820244645541,8.410787824150573,Short-Term,2.0,0.84,722.4,3.5,0.52,843.22,1.5,120.82,-0.32
38,Parkgarage Kaiserstraße (KIT),229,49.0089512419417,8.409428443554846,Short-Term,3.0,0.86,590.8199999999999,3.5,0.77,658.02,0.5,67.2,-0.09
41,Parking Zone 41,325,49.011293811205874,8.349546709823326,Commuter,1.5,0.22,107.25,3.5,0.14,154.34,2.0,47.09,-0.08
45,Am Marktplatz,230,49.00829757783756,8.405904366369167,Short-Term,2.5,0.88,506.0,3.5,0.69,594.76,1.0,88.76,-0.19
48,Parking Zone 48,177,48.999807434575985,8.34093795073981,Commuter,1.5,0.1,26.55,3.5,0.06,38.08,2.0,11.53,-0.04
53,Parking Zone 53,234,49.0207982923779,8.43708089376151,Commuter,1.5,0.5,175.5,3.0,0.38,245.42,1.5,69.92,-0.12
71,Audi Zentrum Karlsruhe,91,49.00641289570393,8.442945180256778,Commuter,1.5,0.43,58.695,2.0,0.37,75.24,0.5,16.54,-0.06
78,Parking Zone 78,69,49.0003057439809,8.502242659805988,Commuter,1.5,0.1,10.350000000000001,1.5,0.1,11.47,0.0,1.12,-0.0
87,Parking Zone 87,50,49.0080523956179,8.425258767494153,Commuter,2.0,0.66,66.0,3.0,0.56,81.91,1.0,15.91,-0.1
91,Parking Zone 91,50,49.030044952871705,8.34122582064967,Commuter,1.5,0.1,7.5,2.5,0.08,10.34,1.0,2.84,-0.02
99,Parking Zone 99,50,49.0042110254758,8.325630358684087,Commuter,1.5,0.1,7.5,5.0,0.05,11.93,3.5,4.43,-0.05
101,Parking Zone 101,50,48.9728187068921,8.470812357119902,Commuter,1.5,0.1,7.5,2.0,0.09,9.52,0.5,2.02,-0.01
105,Luisenstraße,210,49.0005697,8.4046181,Short-Term,2.5,0.78,409.5,4.0,0.62,492.23,1.5,82.73,-0.16
107,Kongresszentrum PH2,475,49.003003400000004,8.3997866,Short-Term,2.0,0.8,760.0,3.0,0.61,913.36,1.0,153.36,-0.19
108,Am Staatstheater,196,49.004870399999994,8.4046989,Short-Term,2.5,0.84,411.59999999999997,4.0,0.65,484.77,1.5,73.17,-0.19
109,Parkhaus Herrenstraße/Zirkel,332,49.010611899999994,8.4009093,Short-Term,3.0,0.89,886.44,4.0,0.77,1009.04,1.0,122.6,-0.12
110,Weiherhof-Center,50,48.9969966,8.4726379,Commuter,1.5,0.1,7.5,2.0,0.09,9.25,0.5,1.75,-0.01
112,Ettlinger Tor,825,49.0062294,8.4018263,Short-Term,2.0,0.85,1402.5,4.0,0.49,1599.72,2.0,197.22,-0.36
113,IHK,115,49.007483099999995,8.4029977,Short-Term,3.0,0.87,300.15,4.0,0.75,341.66,1.0,41.51,-0.12
114,Landesbibliothek,60,49.0074038,8.3991124,Short-Term,2.5,0.84,126.0,4.0,0.63,149.26,1.5,23.26,-0.21
115,Akademiestraße,80,49.010629200000004,8.394179,Short-Term,2.5,0.81,162.0,4.0,0.61,193.91,1.5,31.91,-0.2
116,Parking Zone 116,100,49.0056858,8.3830858,Commuter,2.0,0.65,130.0,3.0,0.53,166.63,1.0,36.63,-0.12
117,Magdeburger Haus,288,49.0102502,8.3849407,Commuter,2.0,0.69,397.43999999999994,3.5,0.53,510.25,1.5,112.81,-0.16
132,Parkgarage Waldhornstraße,220,49.0116013,8.4078588,Short-Term,1.5,0.9,297.0,3.5,0.32,262.9,2.0,-34.1,-0.58
133,Friedrichsplatz,250,49.008362399999996,8.4011575,Short-Term,2.5,0.87,543.75,4.0,0.65,644.11,1.5,100.36,-0.22
134,Karstadt,330,49.00897870000001,8.4015944,Short-Term,2.5,0.88,726.0,4.0,0.66,860.0,1.5,134.0,-0.22
135,Parkhaus Ludwigsplatz,250,49.007618699999995,8.3959119,Short-Term,2.5,0.81,506.25000000000006,4.0,0.61,604.22,1.5,97.97,-0.2
136,Mendelssohnplatz,400,49.005246799999995,8.4130777,Short-Term,2.0,0.79,632.0,3.5,0.56,767.6,1.5,135.6,-0.23
137,Postgalerie,322,49.008546100000004,8.3940758,Short-Term,2.5,0.8,644.0,4.0,0.6,775.34,1.5,131.34,-0.2
138,Stephanplatz,190,49.00809859999998,8.3927228,Short-Term,2.5,0.78,370.5,4.0,0.59,450.35,1.5,79.85,-0.19
139,Kreuzstraße (C&A),48,49.0099415,8.4053733,Short-Term,2.0,0.9,86.4,3.5,0.56,100.85,1.5,14.45,-0.34
160,Parking Zone 160,50,49.0058661,8.3837145,Commuter,2.0,0.66,66.0,3.0,0.54,84.31,1.0,18.31,-0.12
183,Parking Zone 183,50,49.004147399999994,8.384883,Commuter,2.0,0.66,66.0,3.0,0.53,84.17,1.0,18.17,-0.13
205,Tefgarage unter Haus S (Kinder- und Frauenklinik),50,49.019684000000005,8.3725488,Commuter,1.5,0.52,39.0,2.5,0.43,51.32,1.0,12.32,-0.09
206,Parking Zone 206,50,49.0108213,8.3911847,Short-Term,2.5,0.77,96.25,4.0,0.59,117.44,1.5,21.19,-0.18
209,Messplatz,1456,49.004749892853205,8.434517511825932,Commuter,1.5,0.53,1157.52,2.5,0.4,1609.35,1.0,451.83,-0.13
210,Parking Zone 210,1277,49.03006893264997,8.350555805856853,Commuter,1.5,0.2,383.1,2.0,0.18,466.14,0.5,83.04,-0.02
211,Parking Zone 211,1215,48.99925475642822,8.297094950235591,Commuter,1.5,0.1,182.25,6.5,0.05,400.25,5.0,218.0,-0.05
213,Parking Zone 213,1118,49.056644350816676,8.319113624263432,Commuter,1.5,0.1,167.70000000000002,7.0,0.05,405.25,5.5,237.55,-0.05
215,Birkenparkplatz,764,49.02146308332524,8.414976514739832,Short-Term,2.5,0.77,1470.7,4.5,0.54,1804.71,2.0,334.01,-0.23
216,Waldparkplatz,629,49.0165241772439,8.419338180084399,Short-Term,2.0,0.75,943.5,2.5,0.65,1103.19,0.5,159.69,-0.1
218,Parking Zone 218,619,49.03977034234845,8.444233269969839,Commuter,1.5,0.31,287.835,3.0,0.22,408.3,1.5,120.47,-0.09
219,Parking Zone 219,517,49.00956411506825,8.347225760651506,Commuter,1.5,0.19,147.345,3.5,0.12,212.04,2.0,64.69,-0.07
222,Parking Zone 222,457,48.99535121884326,8.381308646937361,Commuter,1.5,0.56,383.88000000000005,3.0,0.38,550.41,1.5,166.53,-0.18
229,Parking Zone 229,317,49.0050724096791,8.476563442549567,Commuter,1.5,0.1,47.550000000000004,1.5,0.1,44.22,0.0,-3.33,0.0
230,Parking Zone 230,312,48.990875811875185,8.375946902783197,Commuter,1.5,0.47,219.95999999999998,3.0,0.35,307.75,1.5,87.79,-0.12
231,Parking Zone 231,307,49.0210333279554,8.469271790670208,Commuter,1.5,0.1,46.050000000000004,2.0,0.09,58.1,0.5,12.05,-0.01
235,Hauptbahnhof P6,250,48.992505599687064,8.406177509188641,Commuter,2.5,0.67,418.75,4.5,0.48,552.53,2.0,133.78,-0.19
237,Parking Zone 237,274,49.063109454143955,8.37852618331901,Commuter,1.5,0.2,82.2,2.5,0.17,107.26,1.0,25.06,-0.03
253,Parking Zone 253,216,49.020297343829434,8.461452107075152,Commuter,1.5,0.18,58.32,4.0,0.1,81.44,2.5,23.12,-0.08
256,Parking Zone 256,214,49.037237947810986,8.308243351057463,Commuter,1.5,0.1,32.1,2.5,0.08,42.29,1.0,10.19,-0.02
257,Parking Zone 257,213,49.02574938068023,8.446740702178545,Commuter,1.5,0.36,115.02,3.0,0.26,162.28,1.5,47.26,-0.1
260,Parking Zone 260,207,49.034689452801835,8.444139064847622,Commuter,1.5,0.35,108.675,2.0,0.32,128.89,0.5,20.21,-0.03
261,Parking Zone 261,207,48.958082472780355,8.492607365739003,Commuter,1.5,0.1,31.05,3.5,0.07,44.68,2.0,13.63,-0.03
273,Birkenwäldle,34,48.95659141690741,8.481885345539363,Commuter,1.5,0.1,5.1000000000000005,7.0,0.05,11.75,5.5,6.65,-0.05
276,Parking Zone 276,185,48.995950464368136,8.371660851437992,Commuter,1.5,0.46,127.65,3.0,0.35,178.6,1.5,50.95,-0.11
277,Parking Zone 277,183,49.02420185692074,8.499439156291238,Commuter,1.5,0.1,27.450000000000003,6.5,0.05,58.87,5.0,31.42,-0.05
281,Parking Zone 281,176,49.00857358938282,8.345343954971206,Commuter,1.5,0.16,42.24,3.5,0.1,60.79,2.0,18.55,-0.06
283,Parking Zone 283,170,49.01759274183938,8.391465279474726,Short-Term,2.0,0.77,261.8,4.0,0.46,316.1,2.0,54.3,-0.31
294,Festplatz Rüppurr,100,48.97978796460361,8.403516418136244,Commuter,1.5,0.5,75.0,2.5,0.4,101.53,1.0,26.53,-0.1
302,P+M Karlsbad,127,48.94497750385804,8.494299158787463,Commuter,1.5,0.1,19.05,7.0,0.05,43.62,5.5,24.57,-0.05
304,Parking Zone 304,146,48.99352063927555,8.361963439608825,Commuter,1.5,0.33,72.27000000000001,1.5,0.32,76.36,0.0,4.09,-0.01
308,Parking Zone 308,139,49.05568073962418,8.399844685827908,Commuter,1.5,0.38,79.23,4.0,0.19,108.85,2.5,29.62,-0.19
309,Fächerbad,148,49.02646530934053,8.444524360742198,Commuter,1.5,0.39,86.58,2.5,0.33,113.86,1.0,27.28,-0.06
319,Parking Zone 319,100,49.03717964036384,8.32860990328019,Commuter,1.5,0.1,15.0,2.0,0.09,17.78,0.5,2.78,-0.01
320,SSC-Zentrum,129,49.026987150419835,8.441481117626944,Commuter,1.5,0.42,81.27,2.5,0.35,106.87,1.0,25.6,-0.07
321,Parking Zone 321,129,49.039616290928514,8.370188487558462,Commuter,1.5,0.38,73.53,3.5,0.22,105.07,2.0,31.54,-0.16
323,Parking Zone 323,127,49.01462853391722,8.428101531742868,Commuter,2.0,0.63,160.02,2.5,0.56,192.16,0.5,32.14,-0.07
324,Parking Zone 324,125,49.021133166400624,8.372440929074049,Commuter,1.5,0.51,95.625,2.5,0.42,125.84,1.0,30.22,-0.09
325,Parking Zone 325,125,49.00150174222165,8.32744569859943,Commuter,1.5,0.1,18.75,5.0,0.05,29.82,3.5,11.07,-0.05
328,P1,124,49.01919611483235,8.411734129864925,Short-Term,2.5,0.83,257.3,4.5,0.56,305.1,2.0,47.8,-0.27
343,Parking Zone 343,115,49.04296536139775,8.398348248872193,Commuter,1.5,0.55,94.87500000000001,1.5,0.57,82.17,0.0,-12.71,0.02
345,Parking Zone 345,97,49.030672802547286,8.386257755772625,Commuter,2.0,0.62,120.28,4.5,0.39,167.57,2.5,47.29,-0.23
